A,B,C,Requested government financing in 2011 - %,Requested government financing in 2011 - Quality,Requested government financing in 2011 - SE,Outcome of government financing request - Approved - Total Approval Rate - %,Outcome of government financing request - Approved - Total Approval Rate - Quality,Outcome of government financing request - Approved - Total Approval Rate - SE,Outcome of government financing request - Approved - Total amount of government financing provided - $,Outcome of government financing request - Approved - Total amount of government financing provided - Quality,Outcome of government financing request - Approved - Total amount of government financing provided - CV,Outcome of government financing request - Approved - Average amount of government financing provided - $,Outcome of government financing request - Approved - Average amount of government financing provided - Quality,Outcome of government financing request - Approved - Average amount of government financing provided - CV,Outcome of government financing request - Request was rejected - %,Outcome of government financing request - Request was rejected - Quality,Outcome of government financing request - Request was rejected - SE,Outcome of government financing request - Request is still under review - %,Outcome of government financing request - Request is still under review - Quality,Outcome of government financing request - Request is still under review - SE,Outcome of government financing request - Request was withdrawn - %,Outcome of government financing request - Request was withdrawn - Quality,Outcome of government financing request - Request was withdrawn - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All SMEs,1 to 499 employees,,3.7,A,0.2,83.8,A,2.4,"2,340,176,757",C,12.3,"122,484",C,12.3,9.4,A,2.0,5.0,A,1.5,1.8,A,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Size,1 to 4 employees,,2.3,A,0.3,87.7,B,3.4,"310,702,043",D,19.8,"46,886",C,14.0,10.7,B,3.3,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Size,5 to 19 employees,,4.6,A,0.5,80.4,B,4.3,"524,662,500",C,14.7,"62,815",C,12.6,10.2,B,3.4,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Size,20 to 99 employees,,6.9,A,0.8,84.8,B,4.3,"572,063,268",D,15.9,"155,684",C,14.5,5.7,B,3.4,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Size,100 to 499 employees,,8.4,A,1.6,87.5,C,5.4,"932,748,947",F,27.2,"2,063,227",F,27.3,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Atlantic,,4.9,A,0.9,82.2,C,6.7,"96,524,574",F,37.2,"53,330",F,29.9,12.2,C,6.4,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Quebec,,6.4,A,0.6,91.1,A,2.2,"1,267,724,647",D,15.5,"174,566",D,15.8,4.1,A,1.7,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Ontario,,3.5,A,0.4,76.9,C,5.6,"448,493,594",F,30.8,"74,133",F,30.9,13.7,B,4.8,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Ontario,Northern Ontario,3.6,A,1.4,95.8,B,3.0,"54,084,201",F,38.6,"102,827",F,40.9,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,Southern Ontario,3.4,A,0.4,75.2,C,6.0,"394,409,393",F,34.7,"71,400",F,34.7,15.0,C,5.2,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Prairies,,2.6,A,0.5,83.1,C,5.8,"264,364,598",F,26.7,"97,761",E,21.2,10.8,B,4.7,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Prairies,Manitoba,2.6,A,1.1,79.9,F,13.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Prairies,Saskatchewan,3.5,A,1.3,77.1,F,13.0,"42,134,764",F,49.8,"64,090",F,32.5,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,Alberta,2.4,A,0.6,86.5,C,7.2,"183,388,081",F,33.2,"113,032",E,24.8,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,British Columbia and Territories,,1.4,A,0.5,81.3,E,10.1,"263,069,344",F,51.8,"205,563",F,55.4,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
